Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	P31151	Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4	FAUX	3.294	12	1	3	1	101	11.5	6.77	5.05	1	"cell differentiation;defense response;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;endoplasmic reticulum;extracellular;nucleus;organelle lumen"	"metal ion binding;protein binding"	Pf01023	6278	ENSG00000143556.8	S100A7	1		"Neutrophil degranulation; Metal sequestration by antimicrobial proteins"		5	1.013	0.901	0.897	0.02	-0.15	-0.16	0.776006616	0.882691028	0.979666685	0.982227132	0.992263517	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q7L5N1	COP9 signalosome complex subunit 6 OS=Homo sapiens OX=9606 GN=COPS6 PE=1 SV=1	FAUX	3.284	4	2	2	2	327	36.1	5.73	4.55	2	"cell organization and biogenesis;metabolic process;response to stimulus"	"cytoplasm;cytosol;nucleus"	protein binding	Pf01398, Pf13012	10980	ENSG00000168090.9	COPS6	7		"Cargo recognition for clathrin-mediated endocytosis; DNA Damage Recognition in GG-NER; Formation of TC-NER Pre-Incision Complex; Neddylation"	Nucleotide-binding Oligomerization Domain (NOD) pathway	14	1.144	1.043	0.888	0.19	0.06	-0.17	0.542461147	0.796338301	0.952691675	0.927043507	0.990871106	0.998956223	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1
High	Master Protein	Q8WVJ2	NudC domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NUDCD2 PE=1 SV=1	FAUX	3.269	7	1	2	1	157	17.7	5.07	3.98	1	metabolic process	"chromosome;cytoplasm;cytoskeleton;cytosol"	protein binding	Pf04969	134492	ENSG00000170584.10	NUDCD2	5				0	0.828	0.784	0.959	-0.27	-0.35	-0.06	0.173083464	0.595005951	0.824900344	0.58625369	0.974832363	0.991557151	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	P49137	MAP kinase-activated protein kinase 2 OS=Homo sapiens OX=9606 GN=MAPKAPK2 PE=1 SV=1	FAUX	3.247	4	1	1	1	400	45.5	8.68	0	1	"defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;nucleus"	"catalytic activity;nucleotide binding;protein binding;signal transducer activity"	Pf00069, Pf07714, Pf14531	9261	ENSG00000162889.10	MAPKAPK2	1	"Viral carcinogenesis; Neurotrophin signaling pathway; VEGF signaling pathway; MAPK signaling pathway"	"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA; Activated TLR4 signalling; activated TAK1 mediates p38 MAPK activation; Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA; CREB phosphorylation; Regulation of HSF1-mediated heat shock response; p38MAPK events; VEGFA-VEGFR2 Pathway; Synthesis of Leukotrienes (LT) and Eoxins (EX); Oxidative Stress Induced Senescence"	"IL-1 signaling pathway; Regulation of Microtubule Cytoskeleton; Structural Pathway of Interleukin 1 (IL-1); Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; MAPK Signaling Pathway; VEGFA-VEGFR2 Signaling Pathway; p38 MAPK Signaling Pathway; Serotonin Receptor 2 and ELK-SRF/GATA4 signaling; Serotonin Receptor 4/6/7 and NR3C Signaling"	64	0.893	9.951	8.513	-0.16	3.31	3.09	0.338753975	8.00764E-11	2.22045E-16	0.811643017	3.61465E-08	1.67052E-13	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	P62891	60S ribosomal protein L39 OS=Homo sapiens OX=9606 GN=RPL39 PE=1 SV=2	FAUX	3.245	20	1	3	1	51	6.4	12.56	9.96	1	"cell organization and biogenesis;defense response;metabolic process;response to stimulus;transport"	"cytosol;ribosome"	"RNA binding;structural molecule activity"	Pf00832	"6170; 285785"	ENSG00000198918.7	"RPL39; RPL39P3"	"X; 6"	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	0.874	1.027	1.185	-0.19	0.04	0.24	0.30101354	0.830441189	0.322316114	0.768363522	0.990871106	0.897044113	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y3C8	Ubiquitin-fold modifier-conjugating enzyme 1 OS=Homo sapiens OX=9606 GN=UFC1 PE=1 SV=3	FAUX	3.238	5	1	1	1	167	19.4	7.4	2.73	1	"metabolic process;response to stimulus"	cytoplasm	"catalytic activity;protein binding"	Pf08694	51506	ENSG00000143222.11	UFC1	1				0													Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q9NV35	Nucleotide triphosphate diphosphatase NUDT15 OS=Homo sapiens OX=9606 GN=NUDT15 PE=1 SV=1	FAUX	3.228	7	1	1	1	164	18.6	6.14	2.44	1	"cell communication;metabolic process;regulation of biological process;response to stimulus"	cytosol	"catalytic activity;metal ion binding;protein binding"	Pf00293	55270	ENSG00000136159.3	NUDT15	13		Phosphate bond hydrolysis by NUDT proteins		5	0.89	0.692	0.804	-0.17	-0.53	-0.31	0.360460598	0.380628698	0.671855488	0.834008009	0.916341237	0.991557151	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q14624	Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4	FAUX	3.227	2	2	2	2	930	103.3	6.98	0	2	"defense response;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;extracellular;membrane;organelle lumen"	"enzyme regulator activity;protein binding"	Pf00092, Pf06668, Pf08487, Pf10138, Pf13444, Pf13519, Pf13768	3700	ENSG00000055955.15	ITIH4	3		Platelet degranulation		4	0.809	0.842	1.035	-0.31	-0.25	0.05	0.081180319	0.737420493	0.620002289	0.38654848	0.990871106	0.991557151	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	1
High	Master Protein	Q6UY14	ADAMTS-like protein 4 OS=Homo sapiens OX=9606 GN=ADAMTSL4 PE=1 SV=2	FAUX	3.223	2	2	3	2	1074	116.5	8.34	2.31	2	"cell death;cell organization and biogenesis;metabolic process;regulation of biological process"	"extracellular;organelle lumen"	"catalytic activity;protein binding"	Pf00090, Pf05986, Pf08686	54507	ENSG00000143382.14	ADAMTSL4	1		"O-glycosylation of TSR domain-containing proteins; Defective B3GALTL causes Peters-plus syndrome (PpS)"		8	0.404	0.313	0.749	-1.31	-1.68	-0.42	1.85799E-07	0.00210707	0.496101748	4.27907E-06	0.03804525	0.957927416	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	1
High	Master Protein	Q9H9A6	Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1	FAUX	3.219	2	1	1	1	602	68.2	6.43	2.5	1	"regulation of biological process;response to stimulus"	membrane	protein binding	Pf12799, Pf13855	55631	ENSG00000066557.5	LRRC40	1				0	1.04	0.841	0.732	0.06	-0.25	-0.45	0.885800468	0.734392032	0.444745037	0.998387812	0.990871106	0.94847618	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1
High	Master Protein	A6NDU8	UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1	FAUX	3.217	5	1	1	1	294	33.6	5.26	0	1		cytosol			285636	ENSG00000205765.8	C5orf51	5				0	0.926	0.695	0.75	-0.11	-0.53	-0.41	0.483153077	0.385753132	0.498858787	0.904161843	0.921832892	0.957927416	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q4G0F5	Vacuolar protein sorting-associated protein 26B OS=Homo sapiens OX=9606 GN=VPS26B PE=1 SV=2	FAUX	3.214	4	1	1	1	336	39.1	7.36	2.97	1	"regulation of biological process;transport"	"cytoplasm;cytosol;endosome;membrane"	"protein binding;transporter activity"	Pf03643	112936	ENSG00000151502.10	VPS26B	11	Endocytosis			1	1.311	1.223	0.962	0.39	0.29	-0.06	0.264380571	0.484708415	0.816106769	0.727691401	0.950241545	0.991557151	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	O95361	Tripartite motif-containing protein 16 OS=Homo sapiens OX=9606 GN=TRIM16 PE=1 SV=3	FAUX	3.205	2	1	1	1	564	63.9	5.49	2.76	1	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;membrane"	"DNA binding;metal ion binding;protein binding"	Pf00622, Pf13765	10626	ENSG00000221926.11	TRIM16	17				0	1.008	0.919	1.019	0.01	-0.12	0.03	0.785432609	0.927249663	0.659859022	0.982227132	0.995066839	0.991557151	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q9NX08	COMM domain-containing protein 8 OS=Homo sapiens OX=9606 GN=COMMD8 PE=1 SV=1	FAUX	3.2	7	1	1	1	183	21.1	5.43	2.86	1	"metabolic process;regulation of biological process"	"cytoplasm;cytosol;nucleus"	protein binding	Pf07258	54951	ENSG00000169019.10	COMMD8	4		Neddylation		3	1.068	1.017	0.961	0.1	0.02	-0.06	0.994977906	0.850661946	0.820843316	0.999405934	0.991194637	0.991557151	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q9UHY1	Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1	FAUX	3.183	2	1	1	1	535	59.8	5.08	2.59	1	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;membrane"	"catalytic activity;nucleotide binding;protein binding"	Pf00069, Pf07714	29959	ENSG00000115216.13	NRBP1	2		Nuclear Receptor transcription pathway		4	1.132	0.948	0.838	0.18	-0.08	-0.26	0.769356452	0.995108456	0.78411409	0.982227132	1	0.991557151	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	O14776	Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	FAUX	3.179	1	1	1	1	1098	123.8	8.65	2.82	1	"metabolic process;regulation of biological process"	nucleus	"protein binding;RNA binding"	Pf00397, Pf01846, Pf13949	10915	ENSG00000113649.11	TCERG1	5	Spliceosome			1	0.869	1.063	1.169	-0.2	0.09	0.23	0.276628197	0.756842235	0.345657921	0.735854846	0.990871106	0.921141918	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	Q9HD42	Charged multivesicular body protein 1a OS=Homo sapiens OX=9606 GN=CHMP1A PE=1 SV=1	FAUX	3.178	4	1	2	1	196	21.7	8.06	3.71	1	"cell communication;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"chromosome;cytoplasm;endosome;membrane;nucleus"	"catalytic activity;metal ion binding;protein binding"	Pf03357	5119	ENSG00000131165.14	CHMP1A	16	Endocytosis			1	1.139	0.524	0.478	0.19	-0.93	-1.07	0.692125049	0.099145697	0.020317762	0.981851814	0.504126451	0.201128025	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q14790	Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1	FAUX	3.174	4	1	1	1	479	55.4	5.1	2.82	1	"cell death;cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus"	"catalytic activity;protein binding;transporter activity"	Pf00656, Pf01335	841	ENSG00000064012.21	CASP8	2	"Viral carcinogenesis; Chagas disease (American trypanosomiasis); TNF signaling pathway; NOD-like receptor signaling pathway; Hepatitis B; Huntington's disease; Pathways in cancer; Apoptosis - multiple species; Tuberculosis; Toxoplasmosis; Apoptosis; Alzheimer's disease; p53 signaling pathway; Non-alcoholic fatty liver disease (NAFLD); Toll-like receptor signaling pathway; Herpes simplex infection; Viral myocarditis; RIG-I-like receptor signaling pathway; Legionellosis; Platinum drug resistance"	"CLEC7A/inflammasome pathway; TLR3-mediated TICAM1-dependent programmed cell death; FasL/ CD95L signaling; TRAIL  signaling; NOD1/2 Signaling Pathway; NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10; TNFR1-induced proapoptotic signaling; Caspase-mediated cleavage of cytoskeletal proteins; Activated TLR4 signalling; Dimerization of procaspase-8; Activation, myristolyation of BID and translocation to mitochondria; TRIF-mediated programmed cell death; Regulation of TNFR1 signaling; Regulation by c-FLIP; CASP8 activity is inhibited"	"Nucleotide-binding Oligomerization Domain (NOD) pathway; Regulation of toll-like receptor signaling pathway; miRNA Regulation of DNA Damage Response; Integrated Breast Cancer Pathway; TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway; Alzheimers Disease; TNF alpha Signaling Pathway; AGE/RAGE pathway; Allograft Rejection; Parkin-Ubiquitin Proteasomal System pathway; Nanomaterial induced apoptosis; Nanoparticle triggered regulated necrosis; Apoptosis; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; MAPK Signaling Pathway; Apoptosis Modulation by HSP70; RIG-I-like Receptor Signaling; DNA Damage Response; Toll-like receptor signaling pathway"	78	0.868	0.831	0.963	-0.2	-0.27	-0.05	0.285319665	0.709823699	0.814109852	0.749669945	0.990871106	0.991557151	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1
High	Master Protein	Q9NTJ3	Structural maintenance of chromosomes protein 4 OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=2	FAUX	3.154	1	2	2	2	1288	147.1	6.79	0	2	"cell division;cell organization and biogenesis;metabolic process"	"chromosome;cytoplasm;cytosol;nucleus"	"nucleotide binding;protein binding"	Pf02463, Pf04012, Pf04111, Pf04156, Pf06470, Pf12128, Pf13166, Pf13304, Pf13476, Pf13555	10051	ENSG00000113810.15	SMC4	3		"Condensation of Prometaphase Chromosomes; Condensation of Prophase Chromosomes"		7	0.931	1.056	1.14	-0.1	0.08	0.19	0.461684578	0.770302465	0.394704119	0.886827313	0.990871106	0.94847618	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q99417	c-Myc-binding protein OS=Homo sapiens OX=9606 GN=MYCBP PE=1 SV=3	FAUX	3.149	9	1	2	1	103	12	5.91	4.27	1	"metabolic process;regulation of biological process"	"cytoplasm;cytosol;mitochondrion;nucleus"	protein binding		26292	ENSG00000214114.8	MYCBP	1			Pathways Affected in Adenoid Cystic Carcinoma	1	1.098	2.355	2.247	0.13	1.24	1.17	0.789398886	0.011994548	0.000883377	0.982227132	0.128912835	0.024314405	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	Q9NX55	Huntingtin-interacting protein K OS=Homo sapiens OX=9606 GN=HYPK PE=1 SV=2	FAUX	3.146	6	1	4	1	129	14.7	4.93	10.17	1	regulation of biological process	"cytoplasm;cytoskeleton;nucleus"	protein binding		25764	ENSG00000242028.6	HYPK	15				0	0.873	0.603	0.708	-0.2	-0.73	-0.5	0.231953193	0.208009111	0.375551131	0.674637057	0.757220263	0.942353829	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q92530	Proteasome inhibitor PI31 subunit OS=Homo sapiens OX=9606 GN=PSMF1 PE=1 SV=2	FAUX	3.143	9	1	1	1	271	29.8	5.74	3.14	1	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;endoplasmic reticulum;membrane;proteasome"	"enzyme regulator activity;protein binding"	Pf08577, Pf11566	9491	ENSG00000125818.17	PSMF1	20	Proteasome	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"		149													Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	High	High	Not Found	Not Found	Not Found	1
High	Master Protein	Q9H773	dCTP pyrophosphatase 1 OS=Homo sapiens OX=9606 GN=DCTPP1 PE=1 SV=1	FAUX	3.135	8	1	2	1	170	18.7	5.03	4.68	1	"cell communication;cell organization and biogenesis;metabolic process;response to stimulus"	"cytoplasm;cytosol;mitochondrion;nucleus"	"catalytic activity;metal ion binding;nucleotide binding;protein binding"		79077	ENSG00000179958.8	DCTPP1	16	"Metabolic pathways; Pyrimidine metabolism"	Interconversion of nucleotide di- and triphosphates		5													High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	Not Found	1
